tick,0,1,2,3,4,5
2.29,43,-47,-37,65,8,-69
2.3000000000000003,43,-45,-39,64,11,-69
2.31,42,-44,-40,63,13,-69
2.32,42,-43,-41,62,14,-69
2.33,42,-41,-43,62,16,-69
2.34,42,-39,-45,61,18,-69
2.35,41,-38,-46,60,19,-69
2.36,41,-37,-47,59,20,-69
2.37,41,-35,-49,58,22,-69
2.38,40,-33,-50,57,24,-69
2.39,40,-32,-51,56,25,-68
2.4,40,-30,-53,54,28,-68
2.41,39,-28,-54,53,29,-67
2.42,39,-27,-55,52,30,-67
2.43,38,-25,-56,51,32,-67
2.44,38,-24,-57,50,34,-66
2.45,37,-22,-58,48,35,-66
2.46,37,-20,-59,47,36,-65
2.47,36,-19,-60,45,39,-64
2.48,36,-17,-61,44,40,-63
2.49,35,-15,-62,43,41,-63
2.5,34,-13,-63,41,43,-62
2.5100000000000002,34,-12,-64,39,45,-61
2.52,33,-10,-64,38,46,-60
2.5300000000000002,32,-8,-65,36,48,-59
2.54,32,-7,-66,35,49,-58
2.5500000000000003,31,-5,-66,33,50,-57
2.56,30,-3,-67,31,52,-56
2.57,29,-2,-67,29,53,-54
2.58,29,0,-68,28,54,-53
2.59,28,0,-68,27,55,-52
2.6,27,2,-68,24,57,-50
2.61,26,4,-69,23,58,-49
2.62,25,6,-69,21,59,-48
2.63,24,7,-69,19,60,-46
2.64,23,9,-69,19,60,-45
2.65,22,10,-69,17,61,-43
2.66,21,12,-69,15,62,-43
2.67,20,14,-69,13,63,-41
2.68,19,15,-69,12,64,-39
2.69,18,17,-69,10,64,-38
2.7,17,19,-69,8,65,-36
2.71,16,20,-69,6,66,-34
2.72,15,22,-69,5,66,-33
2.73,14,24,-69,3,67,-31
2.74,12,25,-68,1,67,-29
2.75,11,27,-68,0,68,-28
2.7600000000000002,10,29,-67,-1,68,-26
2.77,9,31,-67,-3,68,-25
2.7800000000000002,7,32,-66,-4,69,-22
2.79,6,34,-66,-6,69,-21
2.8000000000000003,4,36,-65,-8,69,-19
2.81,3,38,-64,-10,69,-17
2.82,1,40,-63,-12,69,-14
2.83,0,42,-62,-14,69,-12
2.84,-1,43,-61,-16,69,-11
2.85,-2,45,-60,-18,69,-9
2.86,-4,47,-59,-20,69,-6
2.87,-5,49,-58,-22,69,-5
2.88,-7,51,-57,-24,68,-2
2.89,-9,52,-55,-27,68,0
2.9,-11,54,-53,-29,67,1
2.91,-13,56,-51,-32,67,4
2.92,-14,58,-49,-34,66,6
2.93,-16,59,-47,-37,65,9
2.94,-18,61,-44,-40,63,12
2.95,-20,62,-42,-43,62,15
2.96,-22,64,-39,-45,60,18
2.97,-24,65,-36,-48,59,21
2.98,-25,66,-33,-50,57,24
2.99,-27,67,-31,-52,55,26
3.0,-28,68,-28,-54,53,29
3.0100000000000002,-30,68,-25,-56,51,32
3.02,-31,69,-21,-59,48,36
3.0300000000000002,-33,69,-18,-60,45,39
3.04,-34,69,-15,-62,43,42
3.0500000000000003,-35,69,-12,-63,40,44
3.06,-36,69,-9,-65,37,47
3.0700000000000003,-37,69,-7,-66,35,49
3.08,-38,69,-4,-67,32,51
3.09,-38,68,-1,-67,29,53
3.1,-39,68,0,-68,27,55
3.11,-40,67,2,-68,24,57
3.12,-40,66,5,-69,22,58
3.13,-41,66,7,-69,20,59
3.14,-41,65,9,-69,18,60
3.15,-41,64,11,-69,16,62
3.16,-42,63,13,-69,13,63
3.17,-42,62,15,-69,12,64
3.18,-42,61,17,-69,10,65
3.19,-43,60,19,-69,8,65
3.2,-43,59,21,-69,6,66
