tick,0,1,2,3,4,5
145,42.0078843265035,-39.26503119549334,-45.72863318394367,60.81783530537127,18.95390794277143,-69.64126698878934
150,41.66208791569858,-37.587317165682066,-47.21833850910012,59.910611438178925,20.47535255906903,-69.50802987875082
155,41.276144793899654,-35.562063311628584,-49.02174657366035,58.5938084086305,22.575960630953247,-69.29458143456964
160,40.863186628851544,-33.69708088676048,-50.5681257085774,57.37422019886603,24.559666267775228,-68.92490114261017
165,40.405183420454,-31.642763050316617,-52.23036825432896,56.063980267217595,26.454834090565008,-68.5667871576448
170,39.922783514377784,-29.56810990618503,-53.87611978072391,54.32514623145159,28.899798786662068,-68.03773412468215
175,39.42420980679336,-28.072380003751277,-54.86972987741952,53.483907598141386,30.015831060328765,-67.76447362885865
180,38.881825337473266,-25.918671889220967,-56.41691576027811,51.7598400862242,32.242257294300266,-67.0937469909031
185,38.297204731826874,-23.847067259612267,-57.82138155241069,50.039106425768736,34.364544195773625,-66.40075209856283
190,37.67890859424804,-21.72086167037461,-59.18744427664484,48.280467998510595,36.416883612858754,-65.60932341749094
195,37.057912042667695,-20.012837195188702,-60.15221624152188,46.78673034053231,38.14008801198843,-64.90500307293435
200,36.38348964129015,-17.893395077282392,-61.37103662485333,44.86041186323327,40.214907956877994,-63.895067601869314
205,35.666659481104055,-15.77163387182409,-62.5131643833699,42.86021212305192,42.26212291150697,-62.928851486901806
210,34.92298436326597,-13.699164068994406,-63.542794713021166,41.092203404681584,44.00000446185905,-61.91524326830027
215,34.164578774456366,-11.799524724022401,-64.38698480241716,39.22723678930101,45.78600655932105,-60.821962439219064
220,33.37151957261506,-9.903899389572025,-65.16722924170847,37.49529370621522,47.359427548172,-59.80778755891063
225,32.50885360715125,-7.576652069098859,-66.11839837192574,35.00188238358933,49.52713854721334,-58.191699902894506
230,31.710627394263,-6.053545088537195,-66.58071392203735,34.09987188106125,50.20357884780188,-57.68536382859764
235,30.78723523178783,-3.97725254635737,-67.25309698819197,31.818393425582258,52.088655354909974,-56.161001011655884
240,29.858781765347675,-1.9871634533952225,-67.81494415781856,29.849112255906263,53.61328237638569,-54.74431232707301
245,28.907913968199214,-0.05904303226951413,-68.30166204287141,28.18832539653517,54.7831949633125,-53.5732581289637
250,27.918716826643927,1.9395019438853964,-68.72669198968468,25.867993829645126,56.45290852906069,-51.719402589616045
255,26.90760946676244,3.795656963889318,-69.036758159284,23.879943113623597,57.82458657793596,-50.03521614729108
260,25.833945379704687,5.7361414781061235,-69.34235347170693,22.26968379837539,58.793678269910544,-48.766550292924734
265,24.69490989046374,7.804421744404706,-69.61384692733168,20.19378762318386,60.04113963750362,-46.941697155543444
270,23.639063588414558,9.462345011664716,-69.72044603808129,18.487302961317244,61.072492666566916,-45.27224188734324
275,22.43329797610435,11.688126005975889,-69.81443742343197,15.796528203105392,62.51437730985187,-42.858196240675845
280,21.204177316088106,13.73029041525158,-69.8895476475379,14.075888302883367,63.284246074341056,-41.507389443994015
285,19.98137233585747,15.529377622673312,-69.87739706495768,12.316364272735925,64.15469190720991,-39.77043949847737
